(make guest ^name dave ^sex m ^hobby skiing)
(make guest ^name dave ^sex m ^hobby biking)
(make guest ^name dave ^sex m ^hobby swimming)
(make guest ^name doug ^sex m ^hobby biking)
(make guest ^name doug ^sex m ^hobby skiing)
(make guest ^name doug ^sex m ^hobby swimming)
(make guest ^name jane ^sex f ^hobby swimming)
(make guest ^name jane ^sex f ^hobby skiing)
(make guest ^name kate ^sex f ^hobby biking)
(make guest ^name kate ^sex f ^hobby skiing)
(make guest ^name scott ^sex m ^hobby swimming)
(make guest ^name scott ^sex m ^hobby biking)
(make guest ^name sue ^sex f ^hobby biking)
(make guest ^name sue ^sex f ^hobby swimming)
(make guest ^name ann ^sex f ^hobby swimming)
(make guest ^name ann ^sex f ^hobby skiing)
(make guest ^name ann ^sex f ^hobby biking)
(make guest ^name john ^sex m ^hobby skiing)
(make guest ^name john ^sex m ^hobby swimming)
(make guest ^name chuck ^sex m ^hobby skiing)
(make guest ^name chuck ^sex m ^hobby biking)
(make guest ^name hope ^sex f ^hobby swimming)
(make guest ^name hope ^sex f ^hobby skiing)
(make guest ^name hope ^sex f ^hobby biking)
(make guest ^name jill ^sex f ^hobby skiing)
(make guest ^name jill ^sex f ^hobby swimming)
(make guest ^name dan ^sex m ^hobby swimming)
(make guest ^name dan ^sex m ^hobby biking)
(make guest ^name carol ^sex f ^hobby swimming)
(make guest ^name carol ^sex f ^hobby skiing)
(make guest ^name carol ^sex f ^hobby biking)
(make guest ^name alex ^sex m ^hobby skiing)
(make guest ^name alex ^sex m ^hobby biking)
(make guest ^name pam ^sex f ^hobby skiing)
(make guest ^name pam ^sex f ^hobby biking)
(make guest ^name tim ^sex m ^hobby biking)
(make guest ^name tim ^sex m ^hobby skiing)
(make guest ^name d ^sex m ^hobby skiing)
(make guest ^name d ^sex m ^hobby biking)
(make guest ^name d ^sex m ^hobby swimming)
(make guest ^name e ^sex m ^hobby biking)
(make guest ^name e ^sex m ^hobby skiing)
(make guest ^name e ^sex m ^hobby swimming)
(make guest ^name f ^sex f ^hobby swimming)
(make guest ^name f ^sex f ^hobby skiing)
(make guest ^name g ^sex f ^hobby biking)
(make guest ^name g ^sex f ^hobby skiing)
(make guest ^name h ^sex m ^hobby swimming)
(make guest ^name h ^sex m ^hobby biking)
(make guest ^name i ^sex f ^hobby biking)
(make guest ^name i ^sex f ^hobby swimming)
(make guest ^name j ^sex f ^hobby swimming)
(make guest ^name j ^sex f ^hobby skiing)
(make guest ^name j ^sex f ^hobby biking)
(make guest ^name k ^sex m ^hobby skiing)
(make guest ^name k ^sex m ^hobby swimming)
(make guest ^name l ^sex m ^hobby skiing)
(make guest ^name l ^sex m ^hobby biking)
(make guest ^name m ^sex f ^hobby swimming)
(make guest ^name m ^sex f ^hobby skiing)
(make guest ^name m ^sex f ^hobby biking)
(make guest ^name n ^sex f ^hobby skiing)
(make guest ^name n ^sex f ^hobby swimming)
(make guest ^name o ^sex m ^hobby swimming)
(make guest ^name o ^sex m ^hobby biking)
(make guest ^name p ^sex f ^hobby swimming)
(make guest ^name p ^sex f ^hobby skiing)
(make guest ^name p ^sex f ^hobby biking)
(make guest ^name q ^sex m ^hobby skiing)
(make guest ^name q ^sex m ^hobby biking)
(make guest ^name r ^sex f ^hobby skiing)
(make guest ^name r ^sex f ^hobby biking)
(make guest ^name s ^sex m ^hobby biking)
(make guest ^name s ^sex m ^hobby skiing)

(make last_seat 32)
(make count 1)
(make context start)
